id,IATACode,region,country,name,lat,lon,elevation,bearing,indicator
WMBT,TOD,SPA,WM,PULAU TIOMAN,2.819167,104.16,20.0,0.0,C
WMGK,   ,SPA,WM,GONG KEDAK,5.798889,102.490278,20.0,0.0,M
WMKA,AOR,SPA,WM,SULTAN ABDUL HALIM,6.194472,100.400839,15.0,0.0,C
WMKB,BWH,SPA,WM,BUTTERWORTH,5.467475,100.391667,8.0,0.0,M
WMKC,KBR,SPA,WM,SULTAN ISMAIL PETRA,6.167778,102.290833,16.0,0.0,C
WMKD,KUA,SPA,WM,SULTAN AHMAD SHAH,3.769717,103.209406,55.0,0.0,C
WMKE,KTE,SPA,WM,KERTEH,4.538333,103.426667,18.0,0.0,C
WMKI,IPH,SPA,WM,SULTAN AZLAN SHAH,4.569167,101.093056,130.0,0.0,C
WMKJ,JHB,SPA,WM,SENAI INTL,1.640556,103.670278,135.0,0.0,C
WMKK,KUL,SPA,WM,KUALA LUMPUR INTL - SEPANG,2.743333,101.698056,69.0,0.0,C
WMKL,LGK,SPA,WM,LANGKAWI INTL,6.33945,99.733561,16.0,0.0,C
WMKM,MKZ,SPA,WM,MALACCA,2.263056,102.2525,40.0,0.0,C
WMKN,TGG,SPA,WM,SULTAN MAHMUD,5.381111,103.103056,21.0,0.0,C
WMKP,PEN,SPA,WM,PENANG INTL,5.295556,100.272222,10.0,0.0,C
WMPA,   ,SPA,WM,PULAU PANGKOR,4.244722,100.553333,27.0,0.0,C
WMPR,   ,SPA,WM,PULAU REDANG,5.768333,103.005833,25.0,0.0,C
WMSA,SZB,SPA,WM,SULTAN ABDUL AZIZ SHAH-SUBANG,3.132222,101.550278,89.0,0.0,C
WPDB,   ,SPA,WP,SUAI,-9.295189,125.284906,120.0,2.0,C
WPDL,DIL,SPA,WP,PRES NICOLAU LOBATO INTL,-8.546911,125.524969,26.0,2.0,C
WPEC,BCH,SPA,WP,CAKUNG,-8.485469,126.399328,1777.0,3.0,C
WPOC,   ,SPA,WP,OECUSSI,-9.198347,124.339025,15.0,1.0,C
WPVQ,VIQ,SPA,WA,VIQUEQUE,-8.883347,126.372922,100.0,1.0,C
WSAG,   ,SPA,WS,SEMBAWANG,1.426667,103.816111,86.0,0.0,M
WSAP,QPG,SPA,WS,PAYA LEBAR,1.355722,103.902778,65.0,0.0,C
WSAT,TGA,SPA,WS,TENGAH,1.387611,103.708278,50.0,0.4,M
WSSL,XSP,SPA,WS,SELETAR,1.416956,103.867644,46.0,0.0,C
WSSS,SIN,SPA,WS,CHANGI,1.359211,103.989325,22.0,0.0,C
YABA,ALH,SPA,YM,ALBANY,-34.943333,117.808889,233.0,-2.0,C
YADG,   ,SPA,YM,ALDINGA,-35.288889,138.493333,110.0,8.0,C
YADY,   ,SPA,YM,ADAMINABY,-35.998333,148.796667,3350.0,12.0,C
YAGD,AUD,SPA,YB,AUGUSTUS DOWNS,-18.515556,139.878611,150.0,6.0,C
YALA,MRP,SPA,YM,MARLA,-27.334167,133.626389,1076.0,5.0,C
YALG,   ,SPA,YB,ADELS GROVE,-18.6925,138.531389,507.0,5.0,C
YAMB,   ,SPA,YB,AMBERLEY MILITARY,-27.640556,152.711944,91.0,11.0,M
YAMC,AXC,SPA,YB,ARAMAC,-22.959444,145.2525,760.0,8.0,C
YAMK,ADO,SPA,YM,ANDAMOOKA,-30.437711,137.137189,250.0,7.0,C
YAMT,AMT,SPA,YM,AMATA,-26.097222,131.202778,2172.0,4.0,C
YANG,WLP,SPA,YM,WEST ANGELAS,-23.135,118.706667,2346.0,1.0,C
YANK,   ,SPA,YM,ANNA CREEK,-28.896667,136.17,300.0,6.0,C
YAPH,ABH,SPA,YB,ALPHA,-23.646111,146.583611,1255.0,8.0,C
YARA,ARY,SPA,YM,ARARAT,-37.309444,142.988611,1008.0,10.0,C
YARG,GYL,SPA,YB,ARGYLE,-16.636944,128.451389,522.0,3.0,C
YARK,   ,SPA,YM,ARKAROOLA,-30.406389,139.346667,800.0,8.0,C
YARM,ARM,SPA,YB,ARMIDALE,-30.528056,151.617222,3556.0,12.0,C
YARY,AAB,SPA,YB,ARRABURY,-26.7,141.05,334.0,7.0,P
YATN,   ,SPA,YB,ATHERTON,-17.262033,145.514411,2460.0,7.0,C
YAUG,   ,SPA,YM,AUGUSTA,-34.33,115.156667,120.0,-3.0,C
YAUR,AUU,SPA,YB,AURUKUN,-13.353889,141.720833,29.0,5.0,C
YAYE,AYQ,SPA,YM,CONNELLAN,-25.186111,130.975556,1626.0,4.0,C
YAYR,AYR,SPA,YB,AYR,-19.596389,147.324722,40.0,8.0,C
YBAB,   ,SPA,YB,BARALABA,-24.186667,149.845,400.0,9.0,C
YBAD,   ,SPA,YB,BARADINE,-30.955,149.091667,990.0,11.0,C
YBAF,   ,SPA,YB,ARCHERFIELD,-27.570278,153.008056,65.0,11.0,C
YBAR,BCI,SPA,YB,BARCALDINE,-23.565278,145.306667,880.0,8.0,C
YBAS,ASP,SPA,YM,ALICE SPRINGS,-23.808333,133.900833,1789.0,5.0,C
YBAU,   ,SPA,YB,BADU I,-10.15,142.174167,45.0,5.0,C
YBBN,BNE,SPA,YB,BRISBANE INTL,-27.384167,153.1175,13.0,11.0,C
YBBT,   ,SPA,YM,BOORT,-36.137222,143.720556,294.0,10.0,C
YBBY,   ,SPA,YB,BINGIL BAY,-17.801833,146.0625,40.0,7.0,C
YBCG,OOL,SPA,YB,GOLD COAST,-28.164444,153.504722,21.0,11.0,C
YBCK,BKQ,SPA,YB,BLACKALL,-24.427778,145.428611,928.0,8.0,C
YBCM,   ,SPA,YB,COOMINYA,-27.391667,152.461667,300.0,11.0,C
YBCS,CNS,SPA,YB,CAIRNS INTL,-16.885833,145.755278,10.0,7.0,C
YBCV,CTL,SPA,YB,CHARLEVILLE,-26.413333,146.2625,1003.0,9.0,C
YBDG,BXG,SPA,YM,BENDIGO,-36.739167,144.329722,710.0,11.0,C
YBDV,BVI,SPA,YB,BIRDSVILLE,-25.8975,139.3475,159.0,7.0,C
YBEB,   ,SPA,YB,BELLBURN,-17.545,128.305,800.0,3.0,P
YBEE,   ,SPA,YM,BEVERLEY,-30.186667,139.558333,382.0,8.0,P
YBEO,BTX,SPA,YB,BETOOTA,-25.695,140.736667,248.0,7.0,C
YBFT,   ,SPA,YM,BEAUFORT,-37.494444,143.43,1300.0,11.0,C
YBGD,OCM,SPA,YM,BOOLGEEDA,-22.541111,117.269444,1870.0,1.0,C
YBGO,BQW,SPA,YB,BALGO HILL,-20.148333,127.973889,1440.0,3.0,C
YBGR,   ,SPA,YB,BRIDGEWATER,-36.616667,143.95,500.0,11.0,C
YBHI,BHQ,SPA,YM,BROKEN HILL,-32.001389,141.471667,959.0,8.0,C
YBHL,   ,SPA,YM,BINDOON HILL,-31.340278,116.188333,970.0,-1.0,C
YBHM,HTI,SPA,YB,HAMILTON I,-20.358056,148.951667,15.0,8.0,C
YBIE,BEU,SPA,YB,BEDOURIE,-24.346111,139.460278,300.0,6.0,C
YBIR,   ,SPA,YM,BIRCHIP,-35.999722,142.9175,340.0,10.0,C
YBIU,   ,SPA,YM,BALLIDU,-30.593333,116.78,950.0,-1.0,C
YBKE,BRK,SPA,YM,BOURKE,-30.039167,145.951667,352.0,10.0,C
YBKT,BUC,SPA,YB,BURKETOWN,-17.748611,139.534444,21.0,5.0,C
YBLA,BLN,SPA,YM,BENALLA,-36.554167,146.009167,569.0,12.0,C
YBLC,   ,SPA,YM,BALCANOONA,-30.534444,139.337778,474.0,8.0,C
YBLL,BLS,SPA,YB,BOLLON,-28.053611,147.478333,597.0,9.0,C
YBLN,BQB,SPA,YM,BUSSELTON,-33.687222,115.400278,56.0,-3.0,C
YBLP,   ,SPA,YB,BLUE WATER PARK,-19.191667,146.493333,110.0,7.0,C
YBLT,   ,SPA,YM,BALLARAT,-37.511667,143.791111,1433.0,11.0,C
YBLU,   ,SPA,YM,BELLEVUE,-27.612778,120.593889,1555.0,1.0,C
YBMA,ISA,SPA,YB,MOUNT ISA,-20.663889,139.488611,1121.0,6.0,C
YBMI,   ,SPA,YB,BOOMI,-28.728889,149.595556,580.0,10.0,C
YBMK,MKY,SPA,YB,MACKAY,-21.171389,149.179722,19.0,8.0,C
YBMY,   ,SPA,YB,BAMYILI,-14.519722,132.883333,706.0,4.0,C
YBNA,BNK,SPA,YB,BALLINA/BYRON GATEWAY,-28.833889,153.5625,7.0,12.0,C
YBNR,   ,SPA,YB,BROWNS RANGE,-18.895556,128.941944,1466.0,3.0,C
YBNS,BSJ,SPA,YM,BAIRNSDALE,-37.8875,147.567778,165.0,13.0,C
YBOA,   ,SPA,YB,BOONAH,-28.0175,152.676667,330.0,10.0,C
YBOC,   ,SPA,YM,BOOLEROO CENTRE,-32.89,138.366667,1372.0,8.0,C
YBOI,   ,SPA,YM,BOIGU I,-9.233333,142.216667,10.0,5.0,C
YBOK,OKY,SPA,YB,OAKEY (MILITARY),-27.411389,151.735278,1336.0,11.0,C
YBOM,   ,SPA,YM,BOMBALA,-36.905,149.183333,2480.0,13.0,C
YBOR,   ,SPA,YM,BORDERTOWN,-36.271667,140.721667,265.0,9.0,C
YBOU,BQL,SPA,YB,BOULIA,-22.913333,139.899722,542.0,6.0,C
YBPN,PPP,SPA,YB,WHITSUNDAY COAST,-20.495,148.552222,82.0,8.0,C
YBRK,ROK,SPA,YB,ROCKHAMPTON,-23.381944,150.475278,36.0,9.0,C
YBRL,BOX,SPA,YB,BORROLOOLA,-16.075278,136.302222,55.0,4.0,C
YBRM,BME,SPA,YB,BROOME INTL,-17.949444,122.227778,57.0,2.0,C
YBRN,BZD,SPA,YM,BALRANALD,-34.623611,143.578333,210.0,10.0,C
YBRS,   ,SPA,YM,BARWON HEADS,-38.258056,144.4275,50.0,11.0,P
YBRW,BWQ,SPA,YM,BREWARRINA,-29.973889,146.816667,414.0,10.0,C
YBRY,BYP,SPA,YM,BARIMUNYA,-22.673889,119.166111,2082.0,1.0,C
YBSG,   ,SPA,YB,SCHERGER,-12.623889,142.087222,145.0,5.0,M
YBSL,   ,SPA,YM,BROOKS LANDING,-37.708056,144.342778,600.0,11.0,C
YBSM,   ,SPA,YB,BLOSSOM BANKS,-19.7325,150.424167,0.0,8.0,H
YBSS,   ,SPA,YM,BACCHUS MARSH,-37.733333,144.422222,520.0,11.0,C
YBSU,MCY,SPA,YB,SUNSHINE COAST,-26.603333,153.091111,15.0,11.0,C
YBTH,BHS,SPA,YM,BATHURST,-33.409444,149.651944,2435.0,12.0,C
YBTI,BRT,SPA,YB,BATHURST I,-11.769167,130.619722,67.0,3.0,C
YBTL,TSV,SPA,YB,TOWNSVILLE INTL,-19.2525,146.765278,18.0,7.0,C
YBTR,BLT,SPA,YB,BLACKWATER,-23.603056,148.806944,658.0,9.0,C
YBUD,BDB,SPA,YB,BUNDABERG,-24.903889,152.318611,107.0,10.0,C
YBUN,BUY,SPA,YM,BUNBURY,-33.378056,115.676944,53.0,-2.0,C
YBWN,ZBO,SPA,YB,BOWEN,-20.017778,148.215278,26.0,8.0,C
YBWP,WEI,SPA,YB,WEIPA,-12.678611,141.925278,63.0,5.0,C
YBWW,WTB,SPA,YB,BRISBANE WEST WELLCAMP,-27.558611,151.794167,1509.0,11.0,C
YBWX,BWB,SPA,YM,BARROW I,-20.864444,115.406111,26.0,1.0,C
YBYL,   ,SPA,YB,BARYULGIL,-29.216667,152.615,398.0,11.0,P
YCAB,   ,SPA,YB,CABOOLTURE,-27.076944,152.986944,40.0,11.0,C
YCAG,   ,SPA,YM,CAIGUNA,-32.280278,125.477778,287.0,2.0,C
YCAH,CLH,SPA,YM,COOLAH,-31.773333,149.61,1654.0,11.0,C
YCAR,CVQ,SPA,YM,CARNARVON,-24.880556,113.672222,13.0,0.0,C
YCAS,CSI,SPA,YB,CASINO,-28.882778,153.066944,86.0,11.0,C
YCBA,CAZ,SPA,YM,COBAR,-31.538333,145.793889,724.0,10.0,C
YCBB,COJ,SPA,YB,COONABARABRAN,-31.3325,149.267222,2117.0,11.0,C
YCBG,   ,SPA,YM,CAMBRIDGE,-42.826667,147.474722,67.0,15.0,C
YCBP,CPD,SPA,YM,COOBER PEDY,-29.04,134.720833,740.0,6.0,C
YCBR,CRB,SPA,YB,COLLARENEBRI,-29.521944,148.582222,500.0,10.0,C
YCCA,CCL,SPA,YB,CHINCHILLA,-26.769444,150.616667,1030.0,10.0,C
YCCT,   ,SPA,YM,COCONUT ISLAND,-10.05,143.066667,10.0,5.0,C
YCCY,CNJ,SPA,YB,CLONCURRY,-20.668611,140.504444,613.0,6.0,C
YCDE,   ,SPA,YM,COBDEN,-38.326667,143.056667,460.0,11.0,C
YCDH,   ,SPA,YM,CADNEY HOMESTEAD,-27.906667,134.055833,941.0,5.0,C
YCDO,CBX,SPA,YM,CONDOBOLIN,-33.064444,147.209167,650.0,11.0,C
YCDR,CUD,SPA,YB,CALOUNDRA,-26.801944,153.105278,38.0,11.0,C
YCDU,CED,SPA,YM,CEDUNA,-32.130556,133.709722,77.0,6.0,C
YCDW,   ,SPA,YB,DALLACHY,-18.178333,145.95,47.0,7.0,C
YCEE,CVC,SPA,YM,CLEVE,-33.709722,136.504722,589.0,7.0,C
YCEL,   ,SPA,YB,CAPELLA,-23.1,148.0,827.0,8.0,C
YCEM,   ,SPA,YM,COLDSTREAM,-37.728333,145.408889,280.0,12.0,C
YCES,   ,SPA,YM,CERES,-38.146111,144.261667,110.0,11.0,C
YCFN,   ,SPA,YB,CLIFTON,-27.927778,151.8475,1450.0,11.0,P
YCFS,CFS,SPA,YB,COFFS HARBOUR,-30.320556,153.116389,18.0,12.0,C
YCGO,LLG,SPA,YB,CHILLAGOE,-17.140833,144.528333,1123.0,7.0,C
YCHK,CKW,SPA,YM,CHRISTMAS CREEK,-22.355833,119.6425,1454.0,1.0,C
YCHT,CXT,SPA,YB,CHARTERS TOWERS,-20.043056,146.273056,955.0,7.0,C
YCIN,DCN,SPA,YB,CURTIN,-17.581389,123.828333,300.0,2.0,M
YCKI,CKI,SPA,YB,CROKER I,-11.165278,132.483889,51.0,3.0,C
YCKN,CTN,SPA,YB,COOKTOWN,-15.444722,145.184444,26.0,6.0,C
YCLN,   ,SPA,YM,CHARLIE ONE,-20.430556,117.419167,0.0,1.0,H
YCLQ,   ,SPA,YB,CAPE LEVEQUE,-16.400556,122.931389,75.0,2.0,C
YCMH,   ,SPA,YB,CAMDEN HAVEN,-31.665,152.741667,7.0,12.0,C
YCMM,   ,SPA,YM,CUMMINS TOWN,-34.253333,135.713333,199.0,7.0,C
YCMT,CMQ,SPA,YB,CLERMONT,-22.773056,147.620556,918.0,8.0,C
YCMU,CMA,SPA,YB,CUNNAMULLA,-28.03,145.621667,630.0,9.0,C
YCMW,CML,SPA,YB,CAMOOWEAL,-19.911667,138.125,780.0,5.0,C
YCNF,   ,SPA,YM,NIFTY,-21.673611,121.594722,968.0,2.0,C
YCNK,CES,SPA,YM,CESSNOCK,-32.7875,151.341667,210.0,12.0,C
YCNM,CNB,SPA,YB,COONAMBLE,-30.983333,148.375556,604.0,11.0,C
YCNY,   ,SPA,YB,CENTURY MINE,-18.753333,138.706667,416.0,5.0,C
YCOE,CUQ,SPA,YB,COEN,-13.761944,143.116667,533.0,6.0,C
YCOF,   ,SPA,YM,COFFIN BAY,-34.588889,135.505,13.0,7.0,C
YCOH,   ,SPA,YM,COHUNA,-35.826944,144.213889,260.0,11.0,C
YCOM,OOM,SPA,YM,COOMA-SNOWY MOUNTAINS,-36.300556,148.973889,3106.0,13.0,C
YCOO,CDA,SPA,YB,COOINDA,-12.902778,132.532222,43.0,3.0,C
YCOR,CWW,SPA,YM,COROWA,-35.990278,146.351389,469.0,11.0,C
YCPR,   ,SPA,YM,CAPE PRESTON,-20.9773,116.274886,77.0,1.0,C
YCPT,   ,SPA,YM,CARRAPATEENA,-31.308333,137.443333,672.0,7.0,C
YCRG,CYG,SPA,YM,CORRYONG,-36.182778,147.887778,963.0,12.0,C
YCRL,   ,SPA,YM,CROOKWELL,-34.5,149.45,2953.0,12.0,C
YCRN,   ,SPA,YM,CRANBOURN,-41.161389,147.014722,300.0,14.0,C
YCRY,CDQ,SPA,YB,CROYDON,-18.2175,142.253056,350.0,6.0,C
YCSV,KCE,SPA,YB,COLLINSVILLE,-20.596111,147.86,591.0,8.0,C
YCTI,   ,SPA,YB,COCKATOO I,-16.095833,123.611389,380.0,2.0,C
YCTM,CMD,SPA,YM,COOTAMUNDRA,-34.624444,148.035833,1110.0,12.0,C
YCTN,   ,SPA,YM,CASTERTON,-37.613333,141.361667,521.0,10.0,C
YCUE,CUY,SPA,YM,CUE,-27.446667,117.918611,1450.0,0.0,C
YCUN,   ,SPA,YM,CUNDERDIN,-31.622222,117.216667,705.0,-1.0,C
YCVA,   ,SPA,YM,CLARE VALLEY,-33.708333,138.583333,1120.0,8.0,C
YCVG,   ,SPA,YM,CALVIN GROVE,-34.696667,138.578333,1.0,8.0,C
YCWA,CJF,SPA,YM,COONDEWANNA,-22.966667,118.813333,2327.0,1.0,C
YCWL,CCW,SPA,YM,COWELL,-33.667222,136.891667,127.0,7.0,C
YCWR,CWT,SPA,YM,COWRA,-33.844722,148.648889,973.0,12.0,C
YCXA,   ,SPA,YB,COOLOOLA COVE,-25.975833,153.003333,30.0,11.0,C
YCYR,   ,SPA,YB,CHARNLEY RIVER,-16.733333,125.433333,1263.0,3.0,C
YDAY,DBY,SPA,YB,DALBY,-27.155,151.266667,1137.0,10.0,C
YDBI,DRN,SPA,YB,DIRRANBANDI,-28.591667,148.216667,567.0,10.0,C
YDBR,   ,SPA,YB,DUNBAR,-16.05,142.4,163.0,6.0,C
YDBY,DRB,SPA,YB,DERBY,-17.37,123.660556,24.0,2.0,C
YDEK,   ,SPA,YM,DENMARK,-34.945833,117.397222,230.0,-2.0,C
YDGA,DGD,SPA,YM,DALGARANGA MINE,-27.829722,117.316389,1448.0,0.0,C
